Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity
TNFa;;2.159516381;0.355304212;NA;NA;NA;55.37;9.11;NA;NA;NA;pM;pg/ml;Broncho-alveolar lavage (BAL);Healthy control;Mean;SEM;PMID;26730186;;Article;;;;;;12;;;;;;;;;;;;
TNFa;;0.436817473;0.285101404;NA;NA;NA;11.2;7.31;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;16258194;Table 1, p. 274;Article;;;;;;23;;;;;;;;;;;;
TNFa;;0.007800312;0.011310452;NA;NA;NA;0.2;0.29;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17083347;;Article;;;;;;20;;;;;;;;;;;;
TNFa;;0.258580343;0.362324493;NA;NA;NA;6.63;9.29;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;23984295;;Article;;;;;;50;;;;;;;;;;;;
TNFa;;1.209048362;3.354134165;NA;NA;NA;31;86;NA;NA;NA;pM;pg/ml;Blood;Healthy control;Median;IQR(Q1, Q3);DB;ISSN: 1043-4670;;Article;;;;;;33;;;;;;;;;;;;
TNFa;;0.975039002;3.939157566;NA;NA;NA;25;101;NA;NA;NA;pM;pg/ml;Blood;Healthy control;Median;IQR(Q1, Q3);DB;ISSN: 1043-4675;;Article;;;;;;26;;;;;;;;;;;;
TNFa;;1.309282371;0.23049922;NA;NA;NA;33.57;5.91;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;25329073;;Article;;;;;;20;;;;;;;;;;;;
TNFa;;0.354524181;0.073322933;NA;NA;NA;9.09;1.88;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;20714375;;Article;;;;;;19;;;;;;;;;;;;
TNFa;;0.463728549;0.107644306;NA;NA;NA;11.89;2.76;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;14872110;;Article;;;;;;15;;;;;;;;;;;;
TNFa;;1.244929797;0.372464899;NA;NA;NA;31.92;9.55;NA;NA;NA;pM;pg/ml;Sputum;Healthy control;Mean;SD;PMID;25214966;;Article;;;;;;30;;;;;;;;;;;;
TNFa;;0.054602184;0.027301092;NA;NA;NA;1.4;0.7;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;18307413;;Article;;;;;;30;;;;;;;;;;;;
TNFa;;0.534321373;0.501170047;NA;NA;NA;13.7;12.85;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;25980674;table 2;Article;;;;;;8;;;;;;;;;;;;
TNFa;;0.070202808;0.03900156;0.366614665;0.03900156;0.366614665;1.8;1;9.4;1;9.4;pM;pg/ml;Serum;Healthy control;Median;Not specified;PMID;28128077;table 2;Article;;30;22;0.33;;47;;;;;;;;;;;;
TNFa;;0.1950078;NA;NA;NA;NA;5;NA;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;NA;PMID;1575548;fig 1;Article;;5;6;4.6;;11;;;;;;;;;;;;
TNFa;;0.115834633;NA;NA;NA;NA;2.97;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;GeomMean;NA;DB;OpenDermJ_2008_2_18;table 3;Article;;;;2.5;;12;;;;;;;;;;;;
TNFa;;0.007020281;0.021840874;NA;NA;NA;0.18;0.56;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;85;102;;;187;;;;;;;;;;;;
TNFa;;0.007020281;0.024960998;NA;NA;NA;0.18;0.64;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;86;100;;;186;;;;;;;;;;;;
TNFa;;0.171606864;0.042901716;NA;NA;NA;4.4;1.1;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SEM;PMID;11263768;Table3,p.544;Article;;;;25;;20;;;;;;;;;;;;
TNFa;;0.27301092;0.2925117;NA;NA;NA;7;7.5;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SD;PMID;24364843;Fig.2A,p.205;Article;;25;;;;25;;;;;;;;;;;;
TNFa;;0.783931357;0.343213729;3.061622465;0.343213729;3.061622465;20.1;8.8;78.5;8.8;78.5;pM;pg/ml;Plasma;Healthy control;Median;Not specified;PMID;26059032;Table 2, p.6;Article;;;9;55;;9;;;;;;;;;;;;
TNFa;;1.895475819;1.501560062;NA;NA;NA;48.6;38.5;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;22137028;Table 1;Article;;19;8;37.3;;27;;;;;;;;;;;;
TNFa;;0.109594384;0.01950078;NA;NA;NA;2.81;0.5;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;25825101;table 5;Article;;15;10;;;25;;;;;;;;;;;;
TNFa;;0.226209048;0.081903276;0.464118565;NA;NA;5.8;2.1;11.9;NA;NA;pM;pg/mL;Serum;Healthy control;Median;5%_95%_IPR;PMID;21632552;Table 2, p. 4901;Article;White/Black/others;186;111;64.5;;297;;;;;;;;;;;;
TNFa;;0.101404056;0.046801872;0.230109204;NA;NA;2.6;1.2;5.9;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;23300021;Table 1, p. 339;Article;White/Japanese/Latino/African American/Hawaiian;313;228;70;;541;;26.4;;;;12.3;;;;;;
TNFa;;35.49921997;3.365834633;NA;NA;NA;910.2;86.3;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SEM;PMID;26520877;fig 3, p 12;Article;;4;6;47;;;;;;;;;;;;;;
TNFa;;0.040171607;0.172386895;NA;NA;NA;1.03;4.42;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;GeomMean;GeomSD;PMID;20501772;tab 2, p 1581;Article;;34;52;54;;86;;25.3;;;;;;;;;;
TNFa;;0.140405616;0.101404056;0.183307332;NA;NA;3.6;2.6;4.7;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;20373009;tab 3, p 16;Article;European/African-American/Latina;;;57.3;;184;67.2;25.5;162.5;never/current/past smoker;;;;;;;;
TNFa;;0.393915757;0.249609984;0.936037441;NA;NA;10.1;6.4;24;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;22238172;tab 2, p 1867;Article;Caucasian/other;7;14;42;;21;;;;;;;;;;;;
TNFa;;0.296411856;0.120904836;NA;NA;NA;7.6;3.1;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;30814550;tab 4, p 6;Article;;10;17;45.2;;27;;28;;;;;;;;;;
TNFa;;0.040951638;0.005070203;NA;NA;NA;1.05;0.13;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;6;;;;Nonsmokers;;;;;;;;
TNFa;;0.041341654;0.009360374;NA;NA;NA;1.06;0.24;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;6;;;;Nonsmokers;;;;;;;;
TNFa;;0.042121685;0.007020281;NA;NA;NA;1.08;0.18;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;;;;;;;;;;;;;
TNFa;;0.067862715;0.008580343;NA;NA;NA;1.74;0.22;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;;;;;;;;;;;;;
TNFa;;0.023790952;NA;NA;NA;NA;0.61;NA;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;NA;PMID;11762815;Tab.3, p.1426;Article;;26;24;38.9;;50;;;;;;;;;;;;
TNFa;;0.01950078;0.01950078;0.183307332;0.01950078;0.183307332;0.5;0.5;4.7;0.5;4.7;pM;pg/mL;Serum;Healthy control;Median;Not specified;PMID;12115531;Tab. 2, p. 465;Article;;26;24;49;;50;;;;;;;;;;;;
TNFa;;0.113104524;0;0.760530421;0;0.760530421;2.9;0;19.5;0;19.5;pM;pg/mL;Sputum;Healthy control;Average;Not specified;PMID;20205953;Fig. 1, p. 4;Article;;6;10;25.2;;16;;;;;;;;105.6;;;16;
TNFa;;0.081903276;0.017550702;NA;NA;NA;2.1;0.45;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;19032908;Tab. 1, p. E375;Article;;;20;33.25;;20;;23.03;;;;;;;;;;
TNFa;;0.900936037;0.144305772;NA;NA;NA;23.1;3.7;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SEM;PMID;24083740;Tab. 2, p. 4766;Article;Chinese Han - 34, Non- Chinese Han - 6;30;10;49.6;;40;;;;Current smokers - 15, Ex- Smokers - 2, Non-Smokers - 23;;;;;;;;
TNFa;;0.830733229;0.514820593;0.928237129;0.514820593;0.928237129;21.3;13.2;23.8;13.2;23.8;pM;pg/mL;Serum;Healthy control;Median;Not specified;PMID;24083740;Fig. 2, p. 4767;Article;;;;;;23;;;;;;;;;;;;
TNFa;;0.932137285;0.916536661;0.94773791;0.916536661;0.94773791;23.9;23.5;24.3;23.5;24.3;pM;pg/mL;Serum;Healthy control;Median;Not specified;PMID;24083740;Fig. 2, p. 4767;Article;;;;;;2;;;;;;;;;;;;
TNFa;;1.04524181;0.928237129;1.423556942;0.928237129;1.423556942;26.8;23.8;36.5;23.8;36.5;pM;pg/mL;Serum;Healthy control;Median;Not specified;PMID;24083740;Fig. 2, p. 4767;Article;;;;;;15;;;;;;;;;;;;
TNFa;;2.34399376;1.942277691;2.917316693;1.942277691;2.917316693;60.1;49.8;74.8;49.8;74.8;pM;pg/mL;Serum;Healthy control;Median;Not specified;PMID;16260852;tab.2 p.356;Article;;;;;;15;;;;;;;;;;;;
TNFa;;0.017160686;0.011310452;0.026521061;NA;NA;0.44;0.29;0.68;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;26331819;tab.1 p.3124;Article;;94;54;52;;148;;;;59 current smokers, 20 former smokers, 69 nonsmokers;;;;;;;;
TNFa;;0.017160686;0.011310452;0.026521061;NA;NA;0.44;0.29;0.68;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;26331819;tab.2 p.3125;Article;;73;6;53;;79;;;;59 current smokers, 20 former smokers;;;;;;;;
TNFa;;1.338533541;0.446957878;NA;NA;NA;34.32;11.46;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SE;PMID;17438101;Tab. 1, p. 2424;Article;;;;;;378;;;;;;;;;;;;
TNFa;;0;0.031201248;NA;NA;NA;0;0.8;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SD;PMID;24163809;Fig. 4, p. 5;Article;;;;;;270;;;;;;;;;;;;
TNFa;;0.218408736;0;0.245709828;NA;NA;5.6;0;6.3;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;25587794;Tab. 1, p. 693;Article;;10;9;51.1;;19;;;;;;;;;;;;
TNFa;;0.171606864;0;0.171606864;0;0.171606864;4.4;0;4.4;0;4.4;pM;pg/mL;Serum;Healthy control;Median;Not specified;PMID;16645324;Tab. 2, p. 117;Article;;;;;;50;;;;;;;;;;;;
TNFa;;1.755070203;1.755070203;1.755070203;NA;NA;45;45;45;NA;NA;pM;pg/mL;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;;;;;4;;;;;;;;;;;;
TNFa;;3.978159126;2.847113885;4.368174727;NA;NA;102;73;112;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;11;2;49;;13;;;;No current smoking;;;;;;;;
TNFa;;3.042121685;1.872074883;3.666146646;NA;NA;78;48;94;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;19;9;49;;28;;;;Current smoking - 3;;;;;;;;
TNFa;;0.390015601;0.390015601;0.390015601;NA;NA;10;10;10;NA;NA;pM;pg/mL;Serum;COVID-2019;Median;IQR(Q1, Q3);PMID;32401715;Tab. 1, p. 5;Article;;45;41;51;;86;;;;Smoker - 6;;;;;;;;
