Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity
MCP-1;;21.3961922;2.991840435;NA;NA;NA;236;33;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SEM;PMID;26520877;fig 1, p 10;Article;;4;6;47;;;;;;;;;;;;;;
MCP-1;;38.74886673;10.96101541;NA;NA;NA;427.4;120.9;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;30814550;tab 4, p 6;Article;;10;17;45.2;;27;;28;;;;;;;;;;
MCP-1;;2.085222121;0;17.22574796;0;17.22574796;23;0;190;0;190;pM;pg/mL;Sputum;Healthy control;Average;Not specified;PMID;20205953;Fig. 1, p. 4;Article;;6;10;25.2;;16;;;;;;;;105.6;;;16;
MCP-1;;10.04533092;6.400725295;16.50045331;6.400725295;16.50045331;110.8;70.6;182;70.6;182;pM;pg/mL;Broncho-alveolar lavage (BAL);Healthy control;Median;Not specified;PMID;9372648;Fig. 1, p. 1379;Article;;6;1;24;;7;;;;;;;;109.5;;;;
MCP-1;;NA;NA;NA;NA;NA;1.04;0.41;NA;NA;NA;pM;ng/mg_total protein_lung;Lung tissue;Healthy control;Mean;SEM;PMID;10823415;tab.1 p.66;Article;;;;;;25;;;;;;;;;;;;
MCP-1;;15.70262919;1.363553944;NA;NA;NA;173.2;15.04;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SE;PMID;17438101;Tab. 1, p. 2424;Article;;;;;;378;;;;;;;;;;;;
MCP-1;;0.661831369;0;1.106074343;NA;NA;7.3;0;12.2;NA;NA;pM;pg/mL;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;;;;;4;;;;;;;;;;;;
MCP-1;;4.641885766;1.99456029;13.96192203;NA;NA;51.2;22;154;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;11;2;49;;13;;;;No current smoking;;;;;;;;
MCP-1;;2.447869447;1.178603808;3.98912058;NA;NA;27;13;44;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;19;9;49;;28;;;;Current smoking - 3;;;;;;;;
CCL2;;18.22121487;11.60743427;NA;NA;NA;200.98;128.03;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;SD;PMID;26424214;;Article;;;;;;6;;;;;;;;;;;;
CCL2;;7.932910245;3.762466002;NA;NA;NA;87.5;41.5;NA;NA;NA;pM;ng/L;Plasma;Healthy control;Mean;SD;PMID;25683933;;Article;;;;;;30;;;;;;;;;;;;
CCL2;;38.89392566;9.610154125;78.3318223;9.610154125;78.3318223;429;106;864;106;864;pM;pg/ml;Sputum;Healthy control;Mean;Not specified;PMID;16138219;;Article;;;;;;9;;;;;;;;;;;;
CCL2;;0.445149592;0.662737987;NA;NA;NA;4.91;7.31;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;25980674;table 2;Article;;;;;;8;;;;;;;;;;;;
CCL2;;1.459655485;4.832275612;NA;NA;NA;16.1;53.3;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;85;102;;;187;;;;;;;;;;;;
CCL2;;1.758839529;5.666364461;NA;NA;NA;19.4;62.5;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;86;100;;;186;;;;;;;;;;;;
CCL2;;26.2919311;14.50589302;NA;NA;NA;290;160;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SD;PMID;24364843;Fig.3,p.205;Article;;25;;;;25;;;;;;;;;;;;
CCL2;;5.974614687;2.085222121;14.33363554;2.085222121;14.33363554;65.9;23;158.1;23;158.1;pM;pg/ml;Plasma;Healthy control;Median;Not specified;PMID;26059032;Table 2, p.6;Article;;;9;55;;9;;;;;;;;;;;;
CCL2;;17.82411605;NA;NA;NA;NA;196.6;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;NA;PMID;11550808;fig. 1;Article;;;;;;22;;;;;;;;;;;;
CCL2;;101.2692656;15.68449683;327.8331822;15.68449683;327.8331822;1117;173;3616;173;3616;pM;pg/mL;Serum;Healthy control;Mean;Not specified;PMID;28398462;Fig. 1, p. 562;Article;;5;11;59.2;;16;;;;Ex - 7/current - 3/non-smoker - 6;;;;;;109;;
CCL2;;28.10516772;7.25294651;NA;2.447869447;135.1767906;310;80;NA;27;1491;pM;pg/mL;Serum;COVID-2019;Mean;Not specified;PMID;32416070;Fig. 4, p. 7;Article;;;;;;24;;;;;;;;;;;;
CCL2;;5.98368087;3.626473255;NA;0.090661831;20.12692656;66;40;NA;1;222;pM;pg/mL;Serum;Healthy control;Mean;Not specified;PMID;32416070;Fig. 4, p. 7;Article;;;;;;24;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
